Issue_ID,Claim_ID,Issue_Type,Severity,Original_Value,Corrected_Value,Resolution
DQ-00579,CLM043257,Negative Claim Amount,Critical,-29173.83,29173.83,Replaced with the validated positive source amount
DQ-00580,CLM005395,Negative Claim Amount,Critical,-311530.76,311530.76,Replaced with the validated positive source amount
DQ-00581,CLM000140,Negative Claim Amount,Critical,-5513.67,5513.67,Replaced with the validated positive source amount
DQ-00582,CLM045379,Negative Claim Amount,Critical,-4261.62,4261.62,Replaced with the validated positive source amount
DQ-00583,CLM021648,Negative Claim Amount,Critical,-252141.87,252141.87,Replaced with the validated positive source amount
DQ-00584,CLM003666,Negative Claim Amount,Critical,-86516.43,86516.43,Replaced with the validated positive source amount
DQ-00585,CLM036933,Negative Claim Amount,Critical,-153811.85,153811.85,Replaced with the validated positive source amount
DQ-00586,CLM058151,Negative Claim Amount,Critical,-89379.45,89379.45,Replaced with the validated positive source amount
DQ-00587,CLM007583,Negative Claim Amount,Critical,-175842.07,175842.07,Replaced with the validated positive source amount
DQ-00588,CLM044093,Negative Claim Amount,Critical,-82795.6,82795.6,Replaced with the validated positive source amount
DQ-00589,CLM041655,Negative Claim Amount,Critical,-54134.54,54134.54,Replaced with the validated positive source amount
DQ-00590,CLM066891,Negative Claim Amount,Critical,-28419.31,28419.31,Replaced with the validated positive source amount
DQ-00591,CLM065868,Negative Claim Amount,Critical,-185382.28,185382.28,Replaced with the validated positive source amount
DQ-00592,CLM022938,Negative Claim Amount,Critical,-276066.44,276066.44,Replaced with the validated positive source amount
DQ-00593,CLM049486,Negative Claim Amount,Critical,-5450.17,5450.17,Replaced with the validated positive source amount
DQ-00594,CLM008949,Negative Claim Amount,Critical,-228694.77,228694.77,Replaced with the validated positive source amount
DQ-00595,CLM021048,Negative Claim Amount,Critical,-155196.19,155196.19,Replaced with the validated positive source amount
DQ-00596,CLM041622,Negative Claim Amount,Critical,-67639.71,67639.71,Replaced with the validated positive source amount
DQ-00597,CLM014097,Negative Claim Amount,Critical,-116897.98,116897.98,Replaced with the validated positive source amount
DQ-00598,CLM018042,Negative Claim Amount,Critical,-111471.33,111471.33,Replaced with the validated positive source amount
DQ-00599,CLM004297,Negative Claim Amount,Critical,-285018.87,285018.87,Replaced with the validated positive source amount
DQ-00600,CLM072623,Negative Claim Amount,Critical,-48399.66,48399.66,Replaced with the validated positive source amount
DQ-00601,CLM003651,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00602,CLM066374,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00603,CLM059117,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00604,CLM019987,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00605,CLM040435,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00606,CLM035834,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00607,CLM050546,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00608,CLM023361,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00609,CLM043561,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00610,CLM044902,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00611,CLM030433,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00612,CLM010283,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00613,CLM011992,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00614,CLM039693,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00615,CLM030369,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00616,CLM039724,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00617,CLM059015,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00618,CLM069501,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00619,CLM064599,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00620,CLM058199,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00621,CLM027480,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00622,CLM042429,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00623,CLM005386,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00624,CLM014978,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00625,CLM032272,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00626,CLM034479,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00627,CLM068496,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00628,CLM028199,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00629,CLM010100,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00630,CLM019192,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00631,CLM068627,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00632,CLM029298,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00633,CLM036183,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00634,CLM066547,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00635,CLM012919,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00636,CLM009049,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00637,CLM029929,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00638,CLM066305,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00639,CLM069883,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00640,CLM046025,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00641,CLM047476,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00642,CLM064204,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00643,CLM037931,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00644,CLM033804,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00645,CLM015414,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00646,CLM007991,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00647,CLM010742,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00648,CLM053545,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00649,CLM068885,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00650,CLM056095,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00651,CLM037802,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00652,CLM039101,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00653,CLM053383,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00654,CLM006461,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00655,CLM056359,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00656,CLM022472,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00657,CLM009717,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00658,CLM061401,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00659,CLM002112,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00660,CLM011864,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00661,CLM045007,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00662,CLM069341,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00663,CLM029218,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00664,CLM012431,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00665,CLM017679,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00666,CLM066694,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00667,CLM002347,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00668,CLM031408,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00669,CLM067843,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00670,CLM069274,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00671,CLM022625,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00672,CLM020594,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00673,CLM029100,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00674,CLM020991,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00675,CLM067834,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00676,CLM014279,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00677,CLM045870,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00678,CLM068966,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00679,CLM006894,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00680,CLM051953,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00681,CLM044979,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00682,CLM054603,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00683,CLM048605,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00684,CLM068202,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00685,CLM041248,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00686,CLM013067,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00687,CLM008851,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00688,CLM023299,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00689,CLM027277,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00690,CLM031634,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00691,CLM048210,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00692,CLM057366,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00693,CLM017389,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00694,CLM051129,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00695,CLM049760,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00696,CLM048540,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00697,CLM001496,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00698,CLM009481,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00699,CLM068271,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00700,CLM001137,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00701,CLM046210,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00702,CLM035500,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00703,CLM024771,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00704,CLM051340,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00705,CLM001311,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00706,CLM045730,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00707,CLM069310,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00708,CLM067017,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00709,CLM064471,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00710,CLM056568,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00711,CLM068972,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00712,CLM012595,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00713,CLM070360,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00714,CLM022315,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00715,CLM043314,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00716,CLM061283,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00717,CLM057865,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00718,CLM000591,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00719,CLM055402,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00720,CLM014310,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00721,CLM047121,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00722,CLM003431,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00723,CLM042364,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00724,CLM058369,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00725,CLM042029,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00726,CLM017024,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00727,CLM023173,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00728,CLM002305,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00729,CLM059655,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00730,CLM033613,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00731,CLM007003,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00732,CLM029823,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00733,CLM057934,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00734,CLM043865,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00735,CLM010876,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00736,CLM011596,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00737,CLM030842,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00738,CLM023462,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00739,CLM003270,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00740,CLM051680,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00741,CLM010818,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00742,CLM057978,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00743,CLM054333,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00744,CLM027868,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00745,CLM025440,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00746,CLM047521,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00747,CLM026455,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00748,CLM028774,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00749,CLM062163,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00750,CLM035801,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00751,CLM047379,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00752,CLM066827,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00753,CLM016535,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00754,CLM001564,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00755,CLM004854,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00756,CLM025795,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00757,CLM001400,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00758,CLM018665,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00759,CLM009703,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00760,CLM054280,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00761,CLM000684,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00762,CLM036028,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00763,CLM048639,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00764,CLM072017,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00765,CLM055215,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00766,CLM008691,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00767,CLM030927,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00768,CLM020931,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00769,CLM025646,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00770,CLM001462,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00771,CLM023641,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00772,CLM056792,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00773,CLM000659,Blank Channel,Medium,<blank>,Digital,Restored from the valid Channel_Key mapping
DQ-00774,CLM041937,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00775,CLM034068,Blank Channel,Medium,<blank>,Direct,Restored from the valid Channel_Key mapping
DQ-00776,CLM065231,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00777,CLM070587,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00778,CLM039620,Blank Channel,Medium,<blank>,Call Centre,Restored from the valid Channel_Key mapping
DQ-00779,CLM065962,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00780,CLM050299,Blank Channel,Medium,<blank>,Broker,Restored from the valid Channel_Key mapping
DQ-00781,CLM041760,Inconsistent Region Naming,Medium,gauteng,Gauteng,Standardized to the governed province name
DQ-00782,CLM008256,Inconsistent Region Naming,Medium,LIMPOPO,Limpopo,Standardized to the governed province name
DQ-00783,CLM029655,Inconsistent Region Naming,Medium,gauteng,Gauteng,Standardized to the governed province name
DQ-00784,CLM035359,Inconsistent Region Naming,Medium,Mpumalanga ,Mpumalanga,Standardized to the governed province name
DQ-00785,CLM032200,Inconsistent Region Naming,Medium,KZN,KwaZulu-Natal,Standardized to the governed province name
DQ-00786,CLM067154,Inconsistent Region Naming,Medium,Mpumalanga ,Mpumalanga,Standardized to the governed province name
DQ-00787,CLM015526,Inconsistent Region Naming,Medium,gauteng,Gauteng,Standardized to the governed province name
DQ-00788,CLM027707,Inconsistent Region Naming,Medium,North-West,North West,Standardized to the governed province name
DQ-00789,CLM022267,Inconsistent Region Naming,Medium,Northern cape,Northern Cape,Standardized to the governed province name
DQ-00790,CLM037002,Inconsistent Region Naming,Medium,Free state,Free State,Standardized to the governed province name
DQ-00791,CLM017714,Inconsistent Region Naming,Medium,Eastern cape,Eastern Cape,Standardized to the governed province name
DQ-00792,CLM047382,Inconsistent Region Naming,Medium,Mpumalanga ,Mpumalanga,Standardized to the governed province name
DQ-00793,CLM041588,Inconsistent Region Naming,Medium,KZN,KwaZulu-Natal,Standardized to the governed province name
DQ-00794,CLM046527,Inconsistent Region Naming,Medium,gauteng,Gauteng,Standardized to the governed province name
DQ-00795,CLM033367,Inconsistent Region Naming,Medium,gauteng,Gauteng,Standardized to the governed province name
DQ-00796,CLM012139,Inconsistent Region Naming,Medium,Eastern cape,Eastern Cape,Standardized to the governed province name
DQ-00797,CLM055704,Inconsistent Region Naming,Medium,Eastern cape,Eastern Cape,Standardized to the governed province name
DQ-00798,CLM035890,Inconsistent Region Naming,Medium,Eastern cape,Eastern Cape,Standardized to the governed province name
DQ-00799,CLM038127,Inconsistent Region Naming,Medium,gauteng,Gauteng,Standardized to the governed province name
DQ-00800,CLM006109,Inconsistent Region Naming,Medium,KZN,KwaZulu-Natal,Standardized to the governed province name
DQ-00801,CLM055953,Inconsistent Region Naming,Medium,KZN,KwaZulu-Natal,Standardized to the governed province name
DQ-00802,CLM036730,Inconsistent Region Naming,Medium,Eastern cape,Eastern Cape,Standardized to the governed province name
DQ-00803,CLM022836,Inconsistent Region Naming,Medium,gauteng,Gauteng,Standardized to the governed province name
DQ-00804,CLM001006,Inconsistent Region Naming,Medium,gauteng,Gauteng,Standardized to the governed province name
DQ-00805,CLM029452,Inconsistent Region Naming,Medium,Eastern cape,Eastern Cape,Standardized to the governed province name
DQ-00806,CLM026153,Inconsistent Region Naming,Medium,LIMPOPO,Limpopo,Standardized to the governed province name
DQ-00807,CLM071449,Inconsistent Region Naming,Medium,Mpumalanga ,Mpumalanga,Standardized to the governed province name
DQ-00808,CLM001751,Inconsistent Region Naming,Medium,Western cape,Western Cape,Standardized to the governed province name
DQ-00809,CLM042245,Inconsistent Region Naming,Medium,gauteng,Gauteng,Standardized to the governed province name
DQ-00810,CLM004485,Inconsistent Region Naming,Medium,gauteng,Gauteng,Standardized to the governed province name
DQ-00811,CLM032694,Inconsistent Region Naming,Medium,Free state,Free State,Standardized to the governed province name
DQ-00812,CLM044983,Inconsistent Region Naming,Medium,gauteng,Gauteng,Standardized to the governed province name
DQ-00813,CLM031085,Inconsistent Region Naming,Medium,gauteng,Gauteng,Standardized to the governed province name
DQ-00814,CLM065682,Inconsistent Region Naming,Medium,Free state,Free State,Standardized to the governed province name
DQ-00815,CLM067929,Inconsistent Region Naming,Medium,Mpumalanga ,Mpumalanga,Standardized to the governed province name
DQ-00816,CLM052035,Inconsistent Region Naming,Medium,Mpumalanga ,Mpumalanga,Standardized to the governed province name
DQ-00817,CLM049759,Inconsistent Region Naming,Medium,Western cape,Western Cape,Standardized to the governed province name
DQ-00818,CLM059297,Inconsistent Region Naming,Medium,KZN,KwaZulu-Natal,Standardized to the governed province name
DQ-00819,CLM045059,Inconsistent Region Naming,Medium,North-West,North West,Standardized to the governed province name
DQ-00820,CLM004751,Inconsistent Region Naming,Medium,KZN,KwaZulu-Natal,Standardized to the governed province name
DQ-00821,CLM041972,Inconsistent Region Naming,Medium,Western cape,Western Cape,Standardized to the governed province name
DQ-00822,CLM026856,Inconsistent Region Naming,Medium,KZN,KwaZulu-Natal,Standardized to the governed province name
DQ-00823,CLM034127,Inconsistent Region Naming,Medium,Western cape,Western Cape,Standardized to the governed province name
DQ-00824,CLM027834,Inconsistent Region Naming,Medium,KZN,KwaZulu-Natal,Standardized to the governed province name
DQ-00825,CLM017946,Inconsistent Region Naming,Medium,Western cape,Western Cape,Standardized to the governed province name
DQ-00826,CLM032294,Inconsistent Region Naming,Medium,Mpumalanga ,Mpumalanga,Standardized to the governed province name
DQ-00827,CLM025568,Inconsistent Region Naming,Medium,KZN,KwaZulu-Natal,Standardized to the governed province name
DQ-00828,CLM033149,Inconsistent Region Naming,Medium,KZN,KwaZulu-Natal,Standardized to the governed province name
DQ-00829,CLM047742,Inconsistent Region Naming,Medium,LIMPOPO,Limpopo,Standardized to the governed province name
DQ-00830,CLM029420,Inconsistent Region Naming,Medium,LIMPOPO,Limpopo,Standardized to the governed province name
DQ-00831,CLM064917,Inconsistent Region Naming,Medium,Mpumalanga ,Mpumalanga,Standardized to the governed province name
DQ-00832,CLM013174,Inconsistent Region Naming,Medium,LIMPOPO,Limpopo,Standardized to the governed province name
DQ-00833,CLM062828,Inconsistent Region Naming,Medium,gauteng,Gauteng,Standardized to the governed province name
DQ-00834,CLM068292,Inconsistent Region Naming,Medium,gauteng,Gauteng,Standardized to the governed province name
DQ-00835,CLM070115,Inconsistent Region Naming,Medium,KZN,KwaZulu-Natal,Standardized to the governed province name
DQ-00836,CLM067846,Inconsistent Region Naming,Medium,LIMPOPO,Limpopo,Standardized to the governed province name
DQ-00837,CLM044303,Inconsistent Region Naming,Medium,Western cape,Western Cape,Standardized to the governed province name
DQ-00838,CLM071464,Inconsistent Region Naming,Medium,gauteng,Gauteng,Standardized to the governed province name
DQ-00839,CLM042162,Inconsistent Region Naming,Medium,Mpumalanga ,Mpumalanga,Standardized to the governed province name
DQ-00840,CLM003617,Inconsistent Region Naming,Medium,gauteng,Gauteng,Standardized to the governed province name
DQ-00841,CLM067717,Inconsistent Region Naming,Medium,Mpumalanga ,Mpumalanga,Standardized to the governed province name
DQ-00842,CLM030137,Inconsistent Region Naming,Medium,North-West,North West,Standardized to the governed province name
DQ-00843,CLM035438,Inconsistent Region Naming,Medium,Eastern cape,Eastern Cape,Standardized to the governed province name
DQ-00844,CLM014961,Inconsistent Region Naming,Medium,Eastern cape,Eastern Cape,Standardized to the governed province name
DQ-00845,CLM015899,Inconsistent Region Naming,Medium,Western cape,Western Cape,Standardized to the governed province name
DQ-00846,CLM050420,Inconsistent Region Naming,Medium,North-West,North West,Standardized to the governed province name
DQ-00847,CLM023366,Inconsistent Region Naming,Medium,KZN,KwaZulu-Natal,Standardized to the governed province name
DQ-00848,CLM033739,Inconsistent Region Naming,Medium,gauteng,Gauteng,Standardized to the governed province name
DQ-00849,CLM013697,Inconsistent Region Naming,Medium,Western cape,Western Cape,Standardized to the governed province name
DQ-00850,CLM001578,Inconsistent Region Naming,Medium,gauteng,Gauteng,Standardized to the governed province name
